V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
-0.745843431,-1.182834421,-0.349035011,0.889373992,0.594019962,-0.665633327,-1.980394647,0.413292652,-0.817679059,1.242032438,-2.525254105,0.286601562,0.628979271,0.09171627,-3.679996856,-0.548600146,0.71566097,0.920594074,1.470438182,-0.142077762,0.128069604,-1.530456977,0.423753173,-1.109063863,-0.290442674,-0.201170796,0.328248034,0.526877872,0.512566485,0.734890886,0.723856498,0.475283161,0.89331702,1.484386955,-0.776672216,0.63368278,-0.168953513,0.478663439,-0.087218887,0.107040111,0.464406146,-0.595065062,1.064436698,0.685150399,0.528705944,-0.155278583,0.654254029,0.364343256,1.244064093,0.202111855
0.342929319,-0.579983481,-0.349035011,0.201437258,-2.096574125,0.003682976,-1.193177906,0.23187213,-0.007595998,-0.748185557,-1.881663295,-1.084999385,-0.249832083,-0.428876937,-0.306497954,-0.867116807,0.10316673,-0.890087065,0.340570021,0.293788265,-0.129513419,0.447379588,-0.520116786,-1.109063863,-0.032981027,-0.973984447,-0.189851311,0.377142925,0.553146259,-1.410977241,-0.227094919,-1.835593353,0.724413989,-0.255429413,-1.074104729,0.63368278,-0.987845652,-0.014513544,-0.311598142,0.533927552,-0.07553885,-1.039648469,0.145879766,-0.230403066,0.064130391,-0.023515188,0.400535949,-0.056713014,0.041144941,-0.485600995
-0.745843431,-0.476913351,-0.349035011,0.400611719,0.070950985,0.084805759,-0.473530291,0.355458064,-1.058516138,-0.237836608,0.145654084,-0.135241158,-0.949665844,-1.063183508,0.591089204,-1.276480813,1.022237909,0.681432382,0.763143299,0.772120372,0.305871683,0.312840781,-0.302882035,0.046126696,-0.986146381,0.73780458,0.565004786,-0.708919675,0.553146259,0.127199088,-0.679825581,-0.358517401,-0.435982709,0.676375843,0.18242771,0.167704656,-1.232762777,0.26728292,0.428610839,0.291505922,0.441194367,-0.67321923,0.334463981,0.334341559,0.237979078,0.377808289,1.078767862,0.730473072,0.710228844,-0.028654892
-0.745843431,-1.775213288,-0.349035011,0.09502995,0.498200344,-0.088142968,-0.508777695,-0.418623082,0.322843756,-0.660756123,0.013632465,-0.389042683,-0.52923961,-1.063183508,0.040882501,-0.186899619,-0.145198056,0.092507818,0.222450832,0.209435666,0.329909226,0.047959338,-0.520116786,0.357640549,-0.679557941,0.222088521,0.457349726,-1.048471162,0.591419086,-0.363095069,0.007318712,-0.554480612,-0.189115484,0.537258843,0.071511067,-0.740838673,-0.599947685,-0.438534426,-0.610723533,0.184612798,-0.208298932,-0.938489402,0.145879766,0.037108712,-0.066099988,-0.486118059,0.538886526,0.364343256,0.332415109,-0.028654892
-0.745843431,0.179537113,1.677451457,0.593969166,1.484414942,1.980083328,0.67025521,1.002027796,0.322843756,1.386476359,1.505141743,0.952325023,1.292539328,1.905553811,0.740945533,1.821856291,1.531209184,0.614517953,1.210641775,1.647278147,1.128543735,1.23369989,1.381738666,2.194556437,-0.089747528,1.382030543,1.037378403,0.498305467,0.811597894,0.680421456,1.633929068,0.665391964,-0.435982709,0.834201654,0.610259375,0.418617953,1.686687027,1.578459465,2.252901869,0.709214173,0.720265439,0.149294308,1.3723413,1.393116646,1.028175102,0.723665861,0.95238019,1.571653482,1.381167552,1.409015872
-0.745843431,0.267709757,-0.349035011,0.492128574,0.980639616,0.963266199,0.758999352,0.716681885,0.720156806,1.139642977,1.314485407,0.667159247,-0.249832083,0.327008186,1.068915687,0.644946916,0.971599574,1.315326911,1.561300643,1.348879241,1.18907262,0.312840781,0.94858719,1.469203861,0.347963086,1.648587774,1.241478348,0.377142925,0.320228286,0.309826565,0.53706662,1.138378721,0.239937786,1.318750875,-0.54448616,1.545623332,0.422154583,1.064340746,1.253653869,1.439792069,-0.07553885,-0.595065062,0.872246406,1.472659832,0.903831173,0.980153556,1.299744613,0.969001325,0.947122302,0.944357783
-0.745843431,0.521374786,2.223922863,1.286052874,0.24742433,-0.193931896,0.80069217,0.804473695,-0.201463194,-0.98495202,1.125733954,1.143676757,-0.138552483,1.210191532,1.273668375,1.075639642,0.971599574,1.185907609,0.967061355,0.772120372,-0.324053199,0.166614239,0.94858719,1.727914172,-0.370898441,-1.050588971,1.338891415,0.734960342,-0.859111543,0.535895545,1.096685193,0.732993092,0.126445773,1.08284652,-0.54448616,1.65132512,0.422154583,-0.438534426,1.158647883,1.353674433,0.076759614,0.598024418,-0.116820104,0.490624239,1.537491706,0.780496799,1.078767862,1.131017105,1.33121878,0.616050142
0.636532648,-0.38460029,-0.349035011,1.165103145,0.070950985,0.338701544,-0.844137818,0.573400897,-1.681001298,0.48326544,-0.138618584,0.340788653,-0.378032773,-0.221957054,-0.077169815,-0.228881528,0.631630652,0.125531155,0.240000849,-0.570372396,0.489817386,1.085496023,0.019112608,-1.109063863,-1.502436223,-0.351349878,0.513404074,-1.048471162,-0.408559813,0.4743768,0.53706662,-0.452079428,-2.365792208,0.834201654,-0.19251142,1.175150503,-1.531308234,0.137986112,0.428610839,-0.530104531,0.575837709,-1.039648469,-2.170396493,0.846340349,0.729673333,-0.486118059,0.705481633,-0.54529496,0.264754353,0.365335948
-0.745843431,0.552336104,-0.349035011,0.679504505,-0.174878313,0.601474248,-0.006429038,0.716681885,-0.421165109,-0.536338066,0.081830664,0.272690971,-0.138552483,0.515362117,0.391113744,-0.007627543,0.534822747,0.125531155,0.011803621,0.964649274,0.67668171,-0.592439578,0.94858719,1.007970284,-1.201895435,-0.515806994,0.738161886,-0.325675918,0.128349886,0.274869555,0.05076167,-0.04872722,-0.435982709,0.921642443,-0.35400816,1.37173319,1.14940314,0.26728292,0.308686941,0.899716014,-0.829445805,-0.145453856,0.145879766,1.06569224,0.870805814,0.663409359,1.107079948,0.831557871,0.51872729,0.51338873
-0.745843431,0.940270388,-0.349035011,1.148896269,0.24742433,0.763512706,0.230338901,1.174566863,-0.307661927,0.434178181,0.3157208,1.143676757,0.26744097,1.250370045,0.740945533,1.017527679,0.631630652,1.092316055,0.715781022,0.209435666,1.081786136,2.488957536,0.800320463,0.357640549,-0.290442674,1.262742501,0.699003803,0.554823638,-0.859111543,1.094886162,1.425764679,-0.04872722,-0.845855611,1.424351363,-0.54448616,1.340697615,0.573456003,0.788978662,0.830075247,0.839841827,1.419615969,1.143848151,-0.552979898,1.210551487,0.967480462,0.780496799,1.049255759,0.87911753,1.413561092,1.562600076
0.342929319,-0.02852703,-0.349035011,0.952309735,0.876070896,1.300766143,0.89816956,2.58222484,1.692447983,1.714482998,1.489241975,1.310244758,0.709086998,1.461138874,1.322509904,2.043749056,0.856384857,1.767307908,0.797559049,1.392943908,1.39963332,1.192669772,1.61749225,1.727914172,1.046308279,1.178390623,0.874752113,1.193535698,-0.141008642,0.624108383,1.930035016,1.138378721,1.110816501,1.382980084,0.742583285,1.865117614,1.892550777,1.064340746,1.588884579,1.231898616,0.369548086,0.720068386,1.006252792,1.656864038,0.836924781,2.090710417,1.415754223,1.40190719,1.348054895,1.468357328
-0.745843431,-0.089194829,-0.349035011,0.400611719,0.750670394,0.670871757,0.704424988,0.413292652,-0.253708726,-1.311530139,0.26219692,0.200791274,-0.713555484,0.59714305,1.083788912,-0.475917828,0.856384857,0.364519044,0.340570021,0.90667722,-0.393820377,-0.124488152,0.995160477,1.571654311,-0.986146381,-0.634821537,1.012945918,-0.785706508,-0.141008642,-0.41575429,-0.383881634,-0.667567007,-2.365792208,0.608395175,-0.052330485,-0.133446237,0.773015537,-0.770250872,1.158647883,1.157859535,-1.743253108,-1.039648469,-0.116820104,0.334341559,-0.559215509,0.457211522,0.473141377,0.498996664,0.459171918,0.51338873
0.342929319,-0.154327381,-0.349035011,0.915442221,0.385185497,0.223253237,-0.473530291,0.716681885,0.08141861,0.11153063,0.414837887,0.614619005,-0.949665844,0.515362117,0.444539441,0.741048807,0.916590665,0.336822447,0.492526634,0.733545224,0.846109781,0.571961542,1.307615467,0.944490187,-2.001423177,-0.634821537,0.933600222,-0.325675918,0.198561387,0.088138785,0.17515526,0.136605402,-2.365792208,1.318750875,0.071511067,0.730711455,1.283616939,0.567465032,0.483091186,0.899716014,-0.429726085,-0.844264661,0.145879766,1.336099075,0.766409871,1.066783921,1.233582732,0.039954609,0.428478162,1.122800443
