seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
453,,,,,,,,,,,False,-1,7215,3608,400.11
54,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.36
254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
454,0.73,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.5
55,0.66,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,10,19,10,0.83
255,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.29
455,-10.26,-10.965,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,83,165,83,7.7
56,0.835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.42
256,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.36
456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
57,0.71,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.47
257,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.34
457,1.305,1.14,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,20,39,20,2.12
58,0.46,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.44
258,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.35
458,-0.365,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.67
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
259,0.585,0.95,1.005,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,10,19,10,0.82
459,0.475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.42
60,,,,,,,,,,,False,-1,7743,3872,400.08
260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
460,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.24
61,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.38
261,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.53
